,uf,modalidade,R$
424,RN,DT - Produtividade Desen. Tec. e Extensão ,143000.0
425,RN,DTI - Desenvolvimento Tecnológico Industrial,248680.0
426,RN,EV - Especialista Visitante,55000.0
427,RN,EXP - Extensão no País,45000.0
428,RN,GD - Doutorado,2243255.56
429,RN,GM - Mestrado,1470000.0
430,RN,IC - Iniciação Científica,2936000.0
431,RN,ICJ - Iniciação Científica Júnior,195100.0
432,RN,IT - Iniciação Tecnológica,225200.0
433,RN,ITI - Iniciação Tecnológica e Industrial,98000.0
434,RN,PDI - Pos-doutorado Empresarial,16400.0
435,RN,PDJ - Pós-doutorado Júnior,436500.0
436,RN,PDS - Pós-doutorado Sênior,38400.0
437,RN,PQ - Produtividade em Pesquisa,4166960.0
438,RN,SET - Fixação de Recursos Humanos,283180.0
439,RO,APQ - Auxílio a Pesquisa,2220979.99
440,RO,AT - Apoio Técnico a Pesquisa,13200.0
441,RO,ATP - Apoio Técnico em Extensão no País ,3300.0
442,RO,DCR - Desenvolvimento Cientifico Regional,130700.0
443,RO,DT - Produtividade Desen. Tec. e Extensão ,36300.0
444,RO,DTI - Desenvolvimento Tecnológico Industrial,122000.0
445,RO,EV - Especialista Visitante,12500.0
446,RO,GD - Doutorado,57068.0
447,RO,GM - Mestrado,36000.0
448,RO,IC - Iniciação Científica,523200.0
449,RO,ICJ - Iniciação Científica Júnior,67900.0
450,RO,IT - Iniciação Tecnológica,57600.0
451,RO,ITI - Iniciação Tecnológica e Industrial,1200.0
452,RO,PDJ - Pós-doutorado Júnior,22500.0
453,RO,PQ - Produtividade em Pesquisa,101200.0
454,RO,SET - Fixação de Recursos Humanos,15500.0
455,RR,APQ - Auxílio a Pesquisa,557093.22
456,RR,AT - Apoio Técnico a Pesquisa,20250.0
457,RR,DT - Produtividade Desen. Tec. e Extensão ,12100.0
458,RR,DTI - Desenvolvimento Tecnológico Industrial,19360.0
459,RR,GD - Doutorado,142670.0
460,RR,IC - Iniciação Científica,412000.0
461,RR,ICJ - Iniciação Científica Júnior,19800.0
462,RR,IT - Iniciação Tecnológica,45200.0
463,RR,ITI - Iniciação Tecnológica e Industrial,4000.0
464,RR,PQ - Produtividade em Pesquisa,26400.0
465,RS,ADC - Apoio à Difusão do Conhecimento,3300.0
466,RS,AED - Auxílio a Editoração e Publicação,187650.0
467,RS,APQ - Auxílio a Pesquisa,50619167.99
468,RS,ARC - Promoção de Eventos Científicos,585000.0
469,RS,AT - Apoio Técnico a Pesquisa,272050.0
470,RS,ATP - Apoio Técnico em Extensão no País ,630800.0
471,RS,DT - Produtividade Desen. Tec. e Extensão ,1255300.0
472,RS,DTI - Desenvolvimento Tecnológico Industrial,3934500.0
473,RS,EV - Especialista Visitante,163500.0
474,RS,EXP - Extensão no País,493500.0
475,RS,GD - Doutorado,21237998.11
476,RS,GM - Mestrado,8142000.0
477,RS,IC - Iniciação Científica,10370800.0
478,RS,ICJ - Iniciação Científica Júnior,332100.0
479,RS,IEX - Iniciação ao Extensionismo,11880.0
480,RS,IT - Iniciação Tecnológica,1538800.0
481,RS,ITC - Iniciação Tecnológica em TICs,38500.0
482,RS,ITI - Iniciação Tecnológica e Industrial,364400.0
483,RS,PAV - Bolsa Pesquisador-Avaliador,45000.0
484,RS,PDI - Pos-doutorado Empresarial,349250.0
485,RS,PDJ - Pós-doutorado Júnior,5121650.0
486,RS,PDS - Pós-doutorado Sênior,236000.0
487,RS,PQ - Produtividade em Pesquisa,28437660.0
488,RS,PV - Pesquisador Visitante,109700.0
489,RS,SET - Fixação de Recursos Humanos,1607900.0
490,SC,ADC - Apoio à Difusão do Conhecimento,178545.0
